evaluation/Actions Min,trainer/Q Targets Min,trainer/Q2 Predictions Mean,trainer/Log Pis Max,exploration/Rewards Std,replay_buffer/size,evaluation/num steps total,time/epoch (s),trainer/Q1 Predictions Max,time/total (s),trainer/Policy mu Min,evaluation/Returns Max,time/training (s),time/exploration sampling (s),time/saving (s),evaluation/num paths total,trainer/Policy log std Std,trainer/Policy log std Mean,evaluation/Returns Mean,exploration/path length Min,exploration/Rewards Min,exploration/num paths total,exploration/Actions Max,trainer/Q Targets Std,trainer/Log Pis Std,trainer/Log Pis Mean,trainer/QF1 Loss,exploration/path length Max,evaluation/path length Mean,trainer/Policy mu Std,evaluation/Rewards Max,evaluation/Returns Std,exploration/Returns Min,trainer/Policy Loss,trainer/Q Targets Max,exploration/Returns Max,evaluation/Actions Mean,evaluation/path length Std,Epoch,exploration/num steps total,exploration/Returns Std,exploration/Actions Std,time/evaluation sampling (s),evaluation/Average Returns,trainer/Q1 Predictions Std,trainer/QF2 Loss,evaluation/Rewards Mean,trainer/Q1 Predictions Mean,time/data storing (s),exploration/Rewards Max,time/logging (s),trainer/Policy log std Max,trainer/Q2 Predictions Std,exploration/path length Std,evaluation/Actions Std,trainer/Q1 Predictions Min,exploration/Average Returns,trainer/Q Targets Mean,trainer/Policy log std Min,evaluation/Rewards Min,trainer/Q2 Predictions Max,evaluation/Rewards Std,trainer/Policy mu Max,trainer/Log Pis Min,evaluation/Actions Max,exploration/Returns Mean,trainer/Alpha Loss,evaluation/Returns Min,exploration/Actions Mean,evaluation/Num Paths,evaluation/path length Min,trainer/Q2 Predictions Min,trainer/Alpha,exploration/Num Paths,exploration/Rewards Mean,trainer/Policy mu Mean,exploration/Actions Min,exploration/path length Mean,evaluation/path length Max
-0.00014126138,0.0,-0.0013246429,-0.5372169,0.1951866667149183,2120,4995,4.028535494027892,0.0026260274,6.677809350017924,-0.000118675875,0.1737777001413015,1.695045750006102,0.035927181015722454,0.051134464010829106,333,0.0021084053,0.0008545461,0.0428769240547181,15,-0.0,72,0.98806226,0.7921074,0.31233713,-1.3540578,2.540085,15,15.0,0.0007133262,0.023018960942647923,0.05339689808100155,7.978845608028654e-12,-1.3527465,5.442889,2.885644795639895,0.0008173617,0.0,0,1075,1.1012072144892713,0.6171069,2.2073809349967632,0.0428769240547181,0.0003990142,2.5472133,0.002858461603647874,0.0012452996,0.010555862012552097,1.037471321100022,0.0284913019859232,0.0032372538,0.0012166024,0.0,0.00071356754,0.00044558616,1.1774231209154888,1.3842304,-0.0018741633,-0.0,0.0008277516,0.004524900676557348,0.0018394736,-1.8354031,0.0017336656,1.1774231209154888,-0.0,7.978845608028654e-12,-0.02423429,333,15,-0.0034363966,0.997004508972168,5,0.07849487472769927,0.0008204663,-0.9700942,15.0,15
-0.042793993,0.0,1.3474951,-0.9979581,0.3642398736478946,2270,9990,4.229354220005916,1.7398673,11.085449528036406,-0.042649783,4.918898183771828,1.842579404998105,0.052636453008744866,0.023237473011249676,666,0.005238224,-0.12760194,1.0145523529848641,15,-0.0,77,0.9703435,0.60110086,0.16594295,-1.3655987,0.3360794,15,15.0,0.036388624,0.6573181447058043,1.50301071863756,0.019827819623971968,-2.7078211,3.2850194,4.914896572863895,0.004700375,0.0,1,1150,1.8241908835363265,0.60599476,2.2693076840077993,1.0145523529848641,0.14892057,0.33493668,0.06763682353232428,1.3513846,0.013870700990082696,2.4997660695849726,0.02772250398993492,-0.11422902,0.1517228,0.0,0.03638104,0.9294218,1.3637718585353449,1.390933,-0.13861924,-0.0,1.7471739,0.12122478864855848,0.05463685,-2.150374,0.055358008,1.3637718585353449,-1.0106514692306519,7.978845608028654e-12,-0.013257009,333,15,0.93610114,0.7383847236633301,5,0.09091812390235633,0.0051415768,-0.987866,15.0,15
-0.07918895,0.0,1.6831491,-0.83905184,0.152193565758457,2420,14985,4.308109677018365,2.3294466,15.599437216995284,-0.07949364,4.968006022871689,1.7329578249773476,0.03802875001565553,0.023524960997747257,999,0.013232181,-0.096702255,1.119036698409066,15,-0.0,82,0.99606407,0.7030836,0.20898283,-1.356467,0.47626206,15,15.0,0.013759697,0.6169627743767508,1.5027727992600748,7.978845608028654e-12,-3.0317008,3.7039552,2.830088342684764,-0.048728287,0.0,2,1225,1.0963004660566942,0.60713214,2.4736600019969046,1.119036698409066,0.26204854,0.48133454,0.0746024465606044,1.6732883,0.012382651009829715,0.8405758900386573,0.027555488020880148,-0.074293055,0.26497903,0.0,0.012581591,1.0560971,0.7229215557561666,1.4483974,-0.12685141,-0.0,2.3631408,0.1226022571856868,-0.019429497,-1.9029686,-0.017067995,0.7229215557561666,-2.015066146850586,7.978845608028654e-12,-0.06570684,333,15,1.0750276,0.546973705291748,5,0.04819477038374445,-0.048847526,-0.97498053,15.0,15
-0.13144918,0.0,1.5164524,-0.8731239,0.19482235970765044,2570,19980,4.277633925987175,2.229219,20.113554731942713,-0.13367122,10.346435631076536,1.8522977899992839,0.05089463101467118,0.02384783999877982,1332,0.012941189,-0.11894512,0.5546536592204878,15,-0.0,87,0.98941654,0.7218643,0.17033885,-1.3848931,0.41804898,15,15.0,0.038070876,1.2504173500643956,1.268703629065344,0.4913589840993414,-2.8502676,4.827993,2.1728712505107928,-0.03267576,0.0,3,1300,0.5835683464426893,0.5839763,2.307624427980045,0.5546536592204878,0.2621371,0.38730353,0.03697691061469918,1.4862198,0.013945998012786731,1.0139394928300252,0.0290232389816083,-0.09814517,0.30373812,0.0,0.031694688,0.9672695,1.3238456039141901,1.6185589,-0.15351631,-0.0,2.2759817,0.09897203702117359,0.04392667,-2.1996126,0.019622225,1.3238456039141901,-3.0472567081451416,7.978845608028654e-12,0.009343255,333,15,0.82695925,0.40525299310684204,5,0.08825637359427935,-0.03490316,-0.97681606,15.0,15
-0.08678777,0.0,1.6072624,-0.76804906,0.343848600088453,2705,24975,4.394022791966563,2.8191783,24.83446016293601,-0.09503946,12.958993493323515,1.7682263989991043,0.04232227700413205,0.02190083998721093,1665,0.014333134,-0.13539033,1.8050118339889631,15,-0.0,92,0.9973453,0.81509143,0.26012018,-1.3710787,0.46031106,15,15.0,0.1100898,1.681253500123353,3.017194838163201,1.8669446508197513e-06,-2.9665446,5.4624624,6.179520681765684,0.023956649,0.0,4,1375,2.314135316122021,0.59823984,2.525160096003674,1.8050118339889631,0.453198,0.4492801,0.12033412226593088,1.6794856,0.00991550597245805,1.5596947862033759,0.026497673999983817,-0.11062216,0.47711945,0.0,0.10796108,0.83397156,2.4398477675630907,1.6223894,-0.16860445,-0.0,2.8222387,0.23844211551145897,0.285665,-2.867639,0.27819225,2.4398477675630907,-4.045742988586426,7.978845608028654e-12,0.030405378,333,15,0.64095503,0.30025455355644226,5,0.16265651783753937,0.022115646,-0.9658038,15.0,15
-0.2764852,0.0,1.592645,-0.75621516,0.13378490766315068,2840,29970,4.759408787969733,3.5398266,29.9051134349138,-0.27555725,25.82297456388532,1.8871753980056383,0.07201542999246158,0.024391212995396927,1998,0.011494005,-0.100792214,3.0116121467238868,15,-0.0,97,0.9660199,0.8083983,0.24912308,-1.3656254,0.37657082,15,15.0,0.11045961,3.3500124106050406,4.451208057065727,7.978845608028654e-12,-2.9060166,5.477333,2.7510557326312908,-0.020434653,0.0,5,1450,1.0660175041918665,0.5713165,2.730836399976397,3.0116121467238868,0.53906137,0.34422156,0.20077414311492578,1.6031181,0.01564707898069173,0.7408421681945347,0.029343268019147217,-0.07969462,0.55104107,0.0,0.11257047,0.49943316,0.7046989017459878,1.6962211,-0.13822486,-0.0,3.4936411,0.3573806244735699,0.1848672,-2.4620116,0.18829054,0.7046989017459878,-5.047268867492676,7.978845608028654e-12,-0.060807455,333,15,0.34006742,0.2225416898727417,5,0.046979926783065847,-0.019953601,-0.96157914,15.0,15
-0.28823757,0.0,1.7428908,-0.3165313,0.7261647980750424,2975,34965,4.7124480360071175,3.9322019,35.07964846488903,-0.25991368,38.012849260002746,2.032611911999993,0.04329580400371924,0.02309741999488324,2331,0.028420834,-0.14283289,5.822363346736522,15,-0.0,102,0.9426441,0.7016665,0.40628445,-1.3116404,0.19204795,15,15.0,0.23771642,5.64830822034434,9.594374353474327,0.448407998085957,-3.025211,4.609419,15.842128654514681,0.054553114,0.0,6,1525,6.477626190420155,0.57911146,2.574163295008475,5.822363346736522,0.6247686,0.19124475,0.38815755644910144,1.7349195,0.011871135997353122,3.285657336533707,0.02740846900269389,-0.10202441,0.6106745,0.0,0.23531938,0.5371868,6.83729284418869,1.716629,-0.24874315,-0.0,4.049988,0.7942788250180081,0.4886411,-2.6398556,0.46219647,6.83729284418869,-5.9520392417907715,7.978845608028654e-12,0.06412036,333,15,0.51578426,0.16526338458061218,5,0.45581952294591277,0.055309817,-0.98874086,15.0,15
-0.7396862,0.0,1.7323954,1.5369179,1.5787958955995112,3095,39960,5.355881913070334,4.2108455,40.90061034297105,-0.71953183,76.10460256202472,2.7783191690105014,0.05208793701604009,0.022103065013652667,2664,0.061545245,-0.18241927,4.352726761973471,15,-0.0,107,0.98184025,1.0348345,0.941353,-1.1159563,0.38087878,15,15.0,0.44822767,12.595403711460165,9.01773083512963,0.35356490868518614,-2.8272958,8.750942,28.08215242742665,0.058475297,0.0,7,1600,11.28425658212671,0.63873684,2.460377536015585,4.352726761973471,0.7936043,0.3579739,0.29018178413156476,1.7004582,0.012779358017724007,8.037354891114974,0.03021484799683094,-0.10901268,0.80994785,0.0,0.4049025,0.41219002,10.548274226229685,1.7767411,-0.34089378,-0.0,4.4609737,0.9055767413269148,1.2061485,-5.544142,0.91746455,10.548274226229685,-6.503692626953125,7.978845608028654e-12,0.034088705,333,15,0.14027789,0.1236812174320221,5,0.7032182817486456,0.08180553,-0.9968232,15.0,15
-0.7863791,0.0,2.2185688,0.9451146,1.0525227303042464,3230,44955,4.833184463990619,6.5675974,46.16514567489503,-0.8833298,64.10436832736261,2.444540327996947,0.04638060898287222,0.021595489990431815,2997,0.074915245,-0.1803448,15.431349070334464,15,-0.0,112,0.97655416,1.0952134,0.84483373,-0.965934,0.43355262,15,15.0,0.599387,9.71260128667704,13.07370442846731,0.5757535421707811,-3.178301,6.0237474,16.49079702280329,0.042154137,0.0,8,1675,5.926592121861147,0.6251352,2.2841634920041543,15.431349070334464,1.0474818,0.46555305,1.0287566046889645,2.1477969,0.012022003007587045,6.497966530082681,0.024482542008627206,-0.08831254,1.0556426,0.0,0.4195658,0.3152057,4.982525440745727,1.978853,-0.37111288,2.7858118211740515e-115,6.637679,1.3639778547333599,1.2379286,-3.0565596,0.8907706,4.982525440745727,-6.991935729980469,0.008603129835706035,-0.115500994,333,15,0.27088156,0.09443594515323639,5,0.3321683627163819,0.040585082,-0.99779093,15.0,15
-0.97633636,0.0,2.3237927,5.3485994,0.9435743208214824,3350,49950,5.343413949012756,6.078618,52.01301865390269,-2.1804557,85.28983558475414,2.4187410500016995,0.05238179099978879,0.019839654996758327,3330,0.11725543,-0.33438194,8.020583546898632,15,-0.0,117,0.98462856,1.3811327,1.6929216,-0.29956907,0.39441007,15,15.0,0.8890445,12.251599736125263,12.8772984535469,0.014695418713951747,-2.7313082,6.3986197,25.433771706668637,-0.0732747,0.0,9,1750,9.650783059430406,0.58138406,2.8143721189990174,8.020583546898632,1.1804059,0.39905405,0.5347055697932421,2.3679745,0.014155298005789518,4.545589721391552,0.02392403600970283,-0.14719908,1.2020383,0.0,0.51181626,-0.11008872,6.417128313560812,2.2328627,-0.83852047,-0.0,6.250225,1.355927009223112,2.0350206,-4.930415,0.9682323,6.417128313560812,-5.973344802856445,6.1116976791864e-05,-0.2667388,333,15,-0.26325455,0.07428661733865738,5,0.4278085542373873,-0.16562063,-0.99164456,15.0,15
-0.9636849,-0.049286,2.114573,3.9724083,0.7224628408374267,3485,54945,5.2193661390047055,5.691146,57.795845751912566,-1.6426022,62.67824337897519,2.616935162979644,0.042559888010146096,0.022657875990262255,3663,0.098369904,-0.39680582,6.990883594507855,15,2.468311069152366e-69,122,0.98832726,1.6044631,1.4853841,0.26849404,0.43570188,15,15.0,1.0694442,11.657510964705583,10.831336581631206,0.016995378226284465,-2.0402217,7.853596,17.6737357209167,-0.05651459,0.0,10,1825,6.7353158452114945,0.6426873,2.500688698986778,6.990883594507855,1.3533512,0.4341195,0.4660589063005237,2.174634,0.009349154017399997,2.9695231743994097,0.027175359020475298,-0.18099153,1.3759341,0.0,0.5793047,-0.3795762,5.120421594809444,2.2506957,-0.68116224,-0.0,5.893028,1.154243219189061,1.9828988,-4.649251,0.97425455,5.120421594809444,-4.835111618041992,0.006516563938231103,-0.32323766,333,15,-0.4939659,0.06118495389819145,5,0.341361439653963,-0.017385801,-0.99833715,15.0,15
-0.98262835,0.0,2.5290136,5.1088715,1.5046882341701044,3575,59940,4.917483617929975,6.4726567,63.436535982822534,-2.201769,68.56435339277255,2.6378229129768442,0.04419630198390223,0.023151251982199028,3996,0.14938755,-0.5632952,12.093160013886672,15,4.57508550215817e-52,127,0.9923421,1.7075615,1.8508885,0.8441813,0.49566588,15,15.0,1.2124116,11.27435919733078,13.755360186690417,0.4137799352574838,-1.9317007,10.157263,41.674213706884316,-0.06952629,0.0,11,1900,14.329141797273111,0.5518571,2.171495656017214,12.093160013886672,1.4423858,0.46985206,0.8062106675924449,2.5165453,0.011299338977551088,6.245040892395816,0.029518155992263928,-0.15213734,1.4876348,0.0,0.546359,-0.96168923,19.338806602025606,2.482864,-1.0026923,-0.0,6.813999,1.3744147495898726,2.1235142,-4.416979,0.9781082,19.338806602025606,-3.3921689987182617,0.007463690248371656,0.2247385,333,15,-1.0704463,0.05306853726506233,5,1.289253773468374,-0.1929931,-0.9387029,15.0,15
-0.9785777,-0.5483935,2.4056962,5.55886,1.3774309472436952,3695,64935,5.811369540024316,6.601663,69.951050417847,-2.4344113,82.91117211547488,2.6989910650008824,0.0610711770132184,0.021153691021027043,4329,0.12248367,-0.5463204,11.434315012659347,15,8.748058165879544e-19,132,0.9888256,1.6336457,1.7316997,0.89651966,0.6177051,15,15.0,1.231322,9.713423059374183,13.65341938080968,2.92488938373126,-1.8677171,8.801865,29.299034896133104,0.04298915,0.0,12,1975,9.7683189388619,0.61197805,2.989621538989013,11.434315012659347,1.4023614,0.60225743,0.762287667510623,2.459702,0.0148150919994805,6.755255743093496,0.025716976000694558,-0.23546396,1.4307674,0.0,0.53651834,-1.6925263,12.938772835091239,2.6639824,-0.88428754,1.5373417868691215e-111,6.886908,1.336483331996271,2.1428597,-3.9864435,0.9846399,12.938772835091239,-3.3685898780822754,0.013605963893934734,-0.08821117,333,15,-1.8100168,0.047182727605104446,5,0.8625848556727493,0.14335574,-0.97793716,15.0,15
-0.9845969,-0.08651921,2.6341152,6.2318583,0.6308303901808656,3830,69930,5.394293538964121,6.7077384,75.96479060582351,-2.2099087,80.12589952455657,2.8467341439973097,0.04181277597672306,0.022970604011788964,4662,0.10615877,-0.58948386,8.578746892441773,15,2.1005462420979326e-68,137,0.9951386,1.7034057,1.6199472,1.2796173,0.37759823,15,15.0,1.3431044,11.9761619731037,11.75476627845775,1.5932978526359942,-1.6966746,8.534894,8.836803739349527,-0.014220886,0.0,13,2050,2.846167715388913,0.6304978,2.4461807259940542,8.578746892441773,1.628476,0.37223953,0.5719164594961182,2.667061,0.0088952099904418,3.0255990920978126,0.02770007899380289,-0.35472322,1.63052,0.0,0.56805307,-1.0584564,4.764803440156889,2.7243009,-0.8655717,2.5480139200016565e-117,6.5734234,1.2678066107313521,2.506981,-3.0780683,0.9882981,4.764803440156889,-2.271573781967163,0.0016368430485714923,-0.2630864,333,15,-0.9825811,0.04268286004662514,5,0.3176535626771259,-0.036549103,-0.9859539,15.0,15
-0.99585193,0.0,2.9763381,7.266838,1.264648043804983,3950,74925,5.430450962972827,7.592704,82.26878083180054,-3.188818,95.43473621283144,2.926711902982788,0.05260949401417747,0.02236252898001112,4995,0.15729815,-0.74366486,11.926057921899774,15,2.8078300166088522e-12,142,0.9843277,2.0001988,2.1094897,1.5121216,0.3941132,15,15.0,1.4039477,10.644096447932128,13.499697609105471,0.3510589168893831,-1.9242253,9.290004,27.59397110062404,-0.013330217,0.0,14,2125,11.14399801103533,0.5780259,2.390466724988073,11.926057921899774,1.8784943,0.3998848,0.7950705281266518,3.0227218,0.011902992002433166,5.8790202928370245,0.026397320005344227,-0.40133,1.8981959,0.0,0.46981165,-0.5370474,13.10355745994639,3.187809,-1.2349843,8.650946061854173e-104,7.2914147,1.2277757166537289,2.6733296,-6.9440975,0.9923218,13.10355745994639,-1.5798165798187256,0.002338067951718202,-0.19557,333,15,-0.74262244,0.03921208530664444,5,0.8735704973297591,0.067319706,-0.99562085,15.0,15
-0.99615484,0.0,3.21771,5.094865,1.6728443938255126,4070,79920,5.714536126033636,8.287122,88.92042254284024,-2.5942943,63.66708478582554,2.757581713987747,0.04751965502509847,0.020861475000856444,5328,0.100357994,-0.7636322,12.378567648244822,15,2.7278304198543006e-20,147,0.97261447,1.9845784,1.7194018,1.6255084,0.49438357,15,15.0,1.3654388,12.296248218034185,13.553209452149327,0.6388789344728478,-1.985368,9.723703,51.18212462132743,-0.14461857,0.0,15,2200,19.024766711619673,0.59846,2.8518830240063835,12.378567648244822,2.0529761,0.49866387,0.8252378432163215,3.140371,0.009733094018884003,6.861669467430888,0.02695716399466619,-0.44910303,2.052464,0.0,0.5145793,-1.2622379,15.689947908352792,3.0984492,-1.1138275,3.449917889579427e-110,8.103188,1.280515605915561,2.2348635,-3.7609332,0.98370713,15.689947908352792,-1.2366673946380615,0.011130482346352196,-0.21488579,333,15,-1.1221552,0.03678539767861366,5,1.0459965272235194,-0.10953522,-0.9942628,15.0,15
-0.99704003,-0.06765548,3.7528315,5.1782575,1.63735759884658,4190,84915,5.780219660024159,9.905224,95.535427836905,-2.4445164,103.71585753104449,3.098639069008641,0.05539575099828653,0.024790413008304313,5661,0.14940259,-0.7667471,13.898908085279261,15,6.557751893745275e-73,152,0.9881866,2.3189282,1.7551653,1.5664014,0.81425166,15,15.0,1.3470094,12.26182796648998,14.651400058598647,0.7467175809115424,-2.546581,12.219273,43.15173932079343,-0.07461483,0.0,16,2275,15.421542568222794,0.62350416,2.559083880012622,13.898908085279261,2.1923006,0.8576658,0.9265938723519508,3.683341,0.01358835501014255,7.00060225242899,0.028722191986162215,-0.33093494,2.2198188,0.0,0.5193544,-0.57218397,12.771546673455841,3.332094,-1.1893522,3.56505232763094e-94,10.178701,1.3657716122794308,2.461524,-5.108544,0.9887002,12.771546673455841,-1.446422815322876,0.00675142716053631,0.04331793,333,15,-0.890273,0.03557007759809494,5,0.851436444897056,-0.18992537,-0.98492575,15.0,15
-0.9971084,-0.34762892,4.0682793,5.526802,3.475186815305803,4280,89910,5.2218716320057865,9.492315,101.5725193588878,-2.917238,118.44375638508845,2.872087043011561,0.050576345005538315,0.023227594996569678,5994,0.1463226,-0.849785,18.741048840467545,15,7.978845608028654e-12,157,0.9875221,2.294707,1.7717384,1.7746184,0.5927278,15,15.0,1.3593712,14.496324865472396,14.610553408152862,0.9193262646317086,-2.8932848,10.877876,108.78695871243839,-0.1407706,0.0,17,2350,39.04426172178549,0.58913577,2.236790499999188,18.741048840467545,2.1856842,0.48111337,1.2494032560311696,4.1944995,0.011219063977478072,14.235486543498922,0.027971085015451536,-0.44980606,2.1732166,0.0,0.49521175,-0.1548693,36.22371405745203,3.8095763,-1.3409314,2.3247734825643066e-94,9.163326,1.4271538171743632,2.3884187,-3.11341,0.98793787,36.22371405745203,-0.7548447847366333,0.058519473415990585,-0.08993455,333,15,-0.65577143,0.03510354459285736,5,2.414914270496802,-0.28323144,-0.9916524,15.0,15
-0.99766743,-0.24225977,3.439714,6.4768667,1.0728561321227867,4415,94905,5.41897654501372,9.937555,108.18685132090468,-3.0390704,87.60225177604721,2.775214879977284,0.04662743699736893,0.02141412501805462,6327,0.14807494,-0.8143463,16.771959632523536,15,1.0385993013458967e-73,162,0.9863383,2.6079774,2.1047268,2.4194655,0.9621232,15,15.0,1.5724344,13.819839280760942,14.64314411281451,2.3640293404350357,-1.4765527,16.155823,29.028701969071637,-0.1965174,0.0,18,2425,11.027265527025905,0.610652,2.539107115007937,16.771959632523536,2.2507522,0.9524027,1.1181306421682358,3.3507063,0.009517455007880926,3.7047782030248464,0.02709553300519474,-0.31737792,2.331184,0.0,0.5470446,-0.5715797,12.421562361271034,3.4061484,-1.2162552,4.723842167290652e-118,9.587954,1.453638173541541,2.5175676,-2.6740172,0.9880567,12.421562361271034,1.3974173069000244,0.002142507954388704,-0.105282895,333,15,-0.24829435,0.03576439619064331,5,0.8281041574180692,-0.2825388,-0.9962809,15.0,15
-0.9985788,-0.15808848,4.2430716,6.697944,1.5596756270294743,4535,99900,5.672431720013265,11.648248,114.89149892091518,-3.0821662,95.33306122349285,2.8725309370202012,0.055531696998514235,0.02126298099756241,6660,0.19482079,-0.96016264,20.965629394817494,15,7.978845608028654e-12,167,0.9892224,2.6589122,1.7548685,2.1896563,1.0278854,15,15.0,1.4321868,13.54722557042602,16.977272140925436,6.529431038871161,-2.5963578,11.600157,23.447886516453675,-0.14922243,0.0,19,2500,6.421350111285132,0.5799507,2.6837656410061754,20.965629394817494,2.5999813,0.82653546,1.3977086263211664,4.22061,0.013350972993066534,9.98134440316157,0.025989490997744724,-0.4902909,2.5262215,0.0,0.5247771,-0.8904615,16.91104151477135,4.0736194,-1.6177791,2.9583884984010606e-102,10.636812,1.6015385258467927,2.662897,-3.1250408,0.98973215,16.91104151477135,0.6294651031494141,0.015626220752072695,-0.17623413,333,15,-0.4433006,0.03618920221924782,5,1.1274027676514233,-0.122361794,-0.9962995,15.0,15
